id,name,name_en
1,肉,meats
2,野菜,vegetables
3,芋,potatos
4,豆,beans
5,きのこ,mushrooms
6,魚介,seafoods
7,海藻,seaweeds
8,加工品,processed_foods
9,乳製品,dairy_products
10,その他,others
